zip_code,city,state,market_health_index
1757,Town of Milford,MA,3.261083
1760,Natick,MA,7.945774488
1770,Sherborn,MA,6.990408579
1772,Southborough,MA,4.101653954
1775,Stow,MA,3.122120686
1776,Sudbury,MA,5.885507137
1778,Wayland,MA,7.263046598
1801,Woburn,MA,7.584774564
1803,Burlington,MA,8.870931199
1810,Town of Andover,MA,6.74495884
1821,Billerica,MA,7.597613473
1824,Chelmsford,MA,6.293331319
1826,Dracut,MA,4.507967676
1827,Dunstable,MA,7.803791254
1830,Haverhill,MA,5.750320973
1832,Haverhill,MA,2.923495204
1833,Georgetown,MA,8.307529643
1834,Groveland,MA,8.850539989
1835,Haverhill,MA,6.361302016
1841,Lawrence,MA,4.395438411
1843,Lawrence,MA,3.505022279
1844,Methuen,MA,6.301638849
1845,North Andover,MA,2.767917831
1850,Lowell,MA,3.626614304
1851,Lowell,MA,2.33441583
1852,Lowell,MA,3.103995167
1854,Lowell,MA,3.94985273
1860,Merrimac,MA,6.930745412
1862,Billerica,MA,8.092289102
1863,Chelmsford,MA,4.232308738
1864,North Reading,MA,7.235103089
1867,Reading,MA,9.163960426
1876,Tewksbury,MA,6.211766483
1879,Tyngsboro,MA,4.362963522
1880,Wakefield,MA,6.633184805
1886,Westford,MA,5.068348312
1887,Wilmington,MA,8.487274375
1890,Winchester,MA,6.97303829
1902,Lynn,MA,6.581073937
1904,Lynn,MA,7.118797674
1905,Lynn,MA,7.385393852
1906,Saugus,MA,8.291669813
1907,Swampscott,MA,6.784986028
1908,Nahant,MA,7.457895929
1913,Town of Amesbury,MA,6.527452609
1915,Beverly,MA,7.623291292
1921,Town of Boxford,MA,6.03881882
1922,Newbury,MA,4.949777207
1923,Danvers,MA,6.773657579
1929,Town of Essex,MA,7.90952345
1930,Gloucester,MA,7.377086323
1938,Town of Ipswich,MA,6.473076052
1940,Lynnfield,MA,6.818971377
1944,Manchester,MA,8.910203157
1945,Marblehead,MA,6.232912922
1949,Middleton,MA,5.139339929
1950,Newburyport,MA,6.811419077
1951,Newbury,MA,5.275281323
1952,Town of Salisbury,MA,9.07484329
1960,Peabody,MA,5.507136923
1966,Rockport,MA,8.84374292
1969,Town of Rowley,MA,4.114492863
1970,Salem,MA,5.867381618
1982,Hamilton,MA,4.253455177
1983,Town of Topsfield,MA,2.33592629
1984,Wenham,MA,6.098481988
1985,West Newbury,MA,5.377237369
2019,Town of Bellingham,MA,3.057926139
2021,Canton,MA,7.727513028
2025,Cohasset,MA,4.328222944
2026,Dedham,MA,4.768522015
2030,Town of Dover,MA,2.823804849
2032,Walpole,MA,6.016917151
2035,Town of Foxborough,MA,7.229816479
2038,Franklin,MA,4.688467638
2043,Town of Hingham,MA,8.697228306
2045,Hull,MA,3.163658334
2048,Mansfield,MA,6.307680689
2050,Town of Marshfield,MA,5.34325202
2052,Town of Medfield,MA,3.763310928
2053,Medway,MA,5.374216449
2054,Millis,MA,3.853183294
2056,Norfolk,MA,6.238199532
2061,Norwell,MA,8.357374821
2062,Norwood,MA,3.233139491
2066,Town of Scituate,MA,2.908390605
2067,Town of Sharon,MA,3.055660449
2072,Stoughton,MA,6.215542633
2081,Walpole,MA,7.20338343
2090,Westwood,MA,4.924099388
2093,Wrentham,MA,3.281474209
2108,Boston,MA,8.632278529
2109,Boston,MA,5.791103391
2110,Boston,MA,9.483422702
2111,Boston,MA,7.303829016
2113,Boston,MA,5.311532362
2116,Boston,MA,8.969111094
2118,Boston,MA,7.975228457
2119,Boston,MA,9.460010573
2120,Boston,MA,9.362585907
2121,Boston,MA,8.243335096
2122,Boston,MA,8.520504494
2124,Boston,MA,7.454119779
2125,Boston,MA,8.670040027
2126,Boston,MA,5.866626388
2127,Boston,MA,7.152783022
2128,Boston,MA,6.240465222
2129,Boston,MA,8.894343328
2130,Boston,MA,9.203232384
2131,Boston,MA,7.969186617
2132,Boston,MA,8.754625784
2134,Boston,MA,6.796314478
2135,Boston,MA,8.664753417
2136,Boston,MA,6.224605392
2138,Cambridge,MA,7.21471188
2139,Cambridge,MA,7.931425119
2140,Cambridge,MA,9.003096443
2141,Cambridge,MA,5.709538554
2142,Cambridge,MA,6.651310324
2143,Somerville,MA,7.613473303
2144,Somerville,MA,7.485839438
2145,Somerville,MA,8.499358055
2148,Malden,MA,6.331092818
2149,Everett,MA,6.885431614
2150,Chelsea,MA,7.075749566
2151,Revere,MA,7.889887471
2152,Winthrop,MA,8.289404124
2155,Medford,MA,9.712257382
2169,Quincy,MA,6.220074013
2170,Quincy,MA,8.800694812
2171,Quincy,MA,4.526093195
2176,Melrose,MA,8.469904086
2180,Stoneham,MA,8.002416736
2184,Braintree,MA,7.44807794
2186,Milton,MA,4.866701911
2188,Weymouth,MA,4.773808625
2189,Weymouth,MA,1.791405483
2190,Weymouth,MA,4.797220754
2191,Weymouth,MA,5.977645193
2210,Boston,MA,4.66278982
2215,Boston,MA,8.646627898
2301,Brockton,MA,3.985348539
2302,Brockton,MA,4.813835813
2322,Avon,MA,5.35307001
2324,Bridgewater,MA,3.684011782
2330,Carver,MA,4.918057549
2332,Town of Duxbury,MA,7.652745261
2333,East Bridgewater,MA,4.684691489
2338,Halifax,MA,4.353900763
2339,Hanover,MA,4.973189336
2341,Town of Hanson,MA,5.80243184
2343,Holbrook,MA,3.563930217
2346,Middleborough,MA,4.062381995
2347,Lakeville,MA,7.852881202
2351,Abington,MA,2.897062155
2356,Easton,MA,2.502832112
2359,Pembroke,MA,4.122800393
2360,Plymouth,MA,3.054149989
2364,Town of Kingston,MA,3.005060041
2367,Plympton,MA,6.636205725
2368,Randolph,MA,4.248168567
2370,Rockland,MA,6.107544747
2375,Easton,MA,2.454497394
2379,West Bridgewater,MA,6.837096896
2382,Whitman,MA,4.134884072
2420,Lexington,MA,7.068952496
2421,Lexington,MA,7.735820557
2445,Brookline,MA,5.857563628
2446,Brookline,MA,5.671777056
2451,Waltham,MA,8.113435541
2452,Waltham,MA,7.525111396
2453,Waltham,MA,8.287138434
2458,Newton,MA,5.80696322
2459,Newton,MA,7.2177328
2460,Newton,MA,7.072728646
2461,Newton,MA,5.535835662
2462,Newton,MA,6.877879314
2464,Newton,MA,7.013065478
2465,Newton,MA,7.549278755
2466,Newton,MA,8.093799562
2467,Newton,MA,5.482969564
2468,Newton,MA,5.188429877
2472,Watertown,MA,7.755456537
2474,Arlington,MA,9.196435315
2476,Arlington,MA,7.479042368
2478,Belmont,MA,8.37852126
2481,Wellesley,MA,5.513178763
2482,Wellesley,MA,3.25730685
2492,Needham,MA,8.720640435
2493,Weston,MA,3.147798505
2494,Needham,MA,6.856732875
2532,Bourne,MA,3.647760743
2536,East Falmouth,MA,2.79661657
2537,East Sandwich,MA,2.756589381
2538,White Island Shores,MA,2.849482667
2539,Edgartown,MA,7.027414848
2540,Town of Falmouth,MA,6.306925459
2554,Town of Nantucket,MA,4.730005287
2556,North Falmouth,MA,5.914961106
2557,Vineyard Haven,MA,5.914205876
2559,Bourne,MA,4.801752134
2562,Bourne,MA,3.591873726
2563,Town of Sandwich,MA,2.342723359
2568,Vineyard Haven,MA,6.423986104
2571,Wareham,MA,1.881277849
2576,Wareham,MA,8.742542104
2601,Barnstable,MA,4.017068197
2630,Barnstable,MA,3.513329809
2631,Brewster,MA,2.638773507
2632,Barnstable,MA,4.430934219
2633,Chatham,MA,3.941545201
2635,Barnstable,MA,1.480250736
2638,Dennis,MA,5.12272487
2639,Dennis,MA,2.54965637
2642,Eastham,MA,1.910731818
2644,Forestdale,MA,1.835208821
2645,Harwich,MA,4.589532513
2646,Harwich Port,MA,3.24522317
2648,Barnstable,MA,2.929537044
2649,Mashpee,MA,2.474888604
2650,Chatham,MA,2.893286006
2653,Orleans,MA,3.520882109
2655,Barnstable,MA,5.279812703
2657,Provincetown,MA,3.094932407
2659,Chatham,MA,7.715429348
2660,Dennis,MA,3.529189638
2664,Yarmouth,MA,4.950532437
2666,Truro,MA,4.360697832
2667,Wellfleet,MA,1.118495582
2668,Barnstable,MA,5.470130655
2670,Dennis,MA,5.877954837
2671,West Harwich,MA,3.110037006
2673,Yarmouth,MA,2.705988974
2675,Yarmouth,MA,2.574578959
2702,Freetown,MA,3.517861189
2703,Attleboro,MA,2.228683634
2715,Dighton,MA,7.107469224
2717,Freetown,MA,4.342572313
2718,Taunton,MA,4.014047277
2719,Fairhaven,MA,3.572992976
2720,Fall River,MA,1.761951514
2721,Fall River,MA,1.286156635
2723,Fall River,MA,2.128238048
2724,Fall River,MA,1.249150366
2725,Somerset,MA,2.005890794
2726,Somerset,MA,3.173476324
2738,Marion,MA,2.965032853
2739,Mattapoisett,MA,1.408503889
2740,New Bedford,MA,0.357223775
2743,Acushnet,MA,3.638697984
2744,New Bedford,MA,0.712937089
2745,New Bedford,MA,0.535458047
2746,New Bedford,MA,4.001963598
2747,Dartmouth,MA,5.10535458
2748,Dartmouth,MA,5.498074164
2760,North Attleboro,MA,3.218790122
2762,Plainville,MA,4.745109886
2763,North Attleboro,MA,3.143267125
2764,Dighton,MA,6.639981874
2766,Norton,MA,1.883543539
2767,Raynham,MA,2.719583113
2769,Rehoboth,MA,3.333585077
2770,Rochester,MA,2.016464013
2771,Seekonk,MA,4.696775168
2777,Swansea,MA,2.962767163
2779,Berkley,MA,3.984593309
2780,Taunton,MA,3.571482516
2790,Westport,MA,2.726380183
2804,Ashaway,RI,5.57359716
2806,Barrington,RI,6.374896156
2808,Bradford,RI,7.648213881
2809,Bristol,RI,6.370364776
2812,Richmond,RI,5.278302243
2813,Charlestown,RI,3.555622687
2814,Glocester,RI,7.007023639
2816,Coventry,RI,5.433124386
2817,West Greenwich,RI,8.37550034
2818,East Greenwich,RI,7.016841628
2822,Exeter,RI,4.339551393
2825,Foster,RI,4.967902726
2827,Coventry,RI,5.553961181
2828,Greenville,RI,5.12650102
2830,Burrillville,RI,4.514764746
2831,Scituate,RI,6.902046673
2832,Hope Valley,RI,2.975606072
2835,Jamestown,RI,1.831432671
2837,Little Compton,RI,2.468846764
2838,Manville,RI,4.288195756
2839,Burrillville,RI,5.320595121
2840,Newport,RI,7.288724417
2842,Middletown,RI,6.231402462
2852,North Kingstown,RI,8.895853787
2857,Scituate,RI,7.751680387
2859,Burrillville,RI,4.312363115
2860,Pawtucket,RI,3.613775395
2861,Pawtucket,RI,3.96042595
2863,Central Falls,RI,4.800996904
2864,Cumberland,RI,6.865795635
2865,Lincoln,RI,6.180802054
2871,Portsmouth,RI,6.131712106
2874,North Kingstown,RI,8.053017144
2878,Town of Tiverton,RI,3.893210483
2879,South Kingstown,RI,5.746544823
2881,Kingston,RI,7.111245374
2882,Narragansett,RI,4.329733404
2885,Warren,RI,3.546559927
2886,Warwick,RI,4.504191526
2888,Warwick,RI,5.961785364
2889,Warwick,RI,4.782116154
2891,Town of Westerly,RI,4.385620421
2892,Richmond,RI,5.840948569
2893,West Warwick,RI,5.199758326
2895,Woonsocket,RI,5.433879616
2896,North Smithfield,RI,6.380182766
2898,Richmond,RI,2.366890718
2903,Providence,RI,2.434861415
2904,North Providence,RI,4.157540971
2905,Providence,RI,5.849256098
2906,Providence,RI,8.244090326
2907,Providence,RI,4.793444604
2908,Providence,RI,6.561437958
2909,Providence,RI,4.387130881
2910,Cranston,RI,5.689902575
2911,North Providence,RI,4.200589079
2914,East Providence,RI,5.880220527
2915,East Providence,RI,3.923419681
2916,East Providence,RI,5.152934068
2917,Smithfield,RI,4.966392266
2919,Johnston,RI,2.632731667
2920,Cranston,RI,7.510762027
2921,Cranston,RI,3.861490824
3031,Amherst,NH,8.13307152
3032,Auburn,NH,7.796994185
3033,Brookline,NH,6.781209878
3034,Candia,NH,6.472320822
3036,Chester,NH,8.016010875
3037,Deerfield,NH,7.762253606
3038,Derry,NH,8.569594442
3042,Town of Epping,NH,5.736726833
3043,Francestown,NH,9.101276339
3044,Fremont,NH,8.408730458
3045,Goffstown,NH,7.331017295
3046,Dunbarton,NH,6.417189034
3047,Greenfield,NH,4.924854618
3048,Mason,NH,8.928328676
3049,Hollis,NH,5.81602598
3051,Town of Hudson,NH,7.641416811
3052,Litchfield,NH,8.164035949
3053,Town of Londonderry,NH,7.489615588
3054,Merrimack,NH,7.43674949
3055,Town of Milford,NH,8.931349596
3057,Mont Vernon,NH,5.529793822
3060,Nashua,NH,6.541046749
3062,Nashua,NH,6.487425421
3063,Nashua,NH,7.631598822
3064,Nashua,NH,7.331772525
3070,New Boston,NH,8.029605015
3071,New Ipswich,NH,6.169473605
3076,Pelham,NH,8.906427007
3077,Raymond,NH,6.327316668
3079,Salem,NH,7.102937845
3082,Lyndeborough,NH,7.390680462
3084,Temple,NH,6.233668152
3086,Town of Wilton,NH,8.917755457
3087,Windham,NH,5.874178687
3102,Manchester,NH,4.959595197
3103,Manchester,NH,7.159580092
3104,Manchester,NH,7.775092516
3106,Town of Hooksett,NH,6.424741334
3109,Manchester,NH,7.743372857
3110,Bedford,NH,7.45185409
3216,Andover,NH,7.66407371
3217,Ashland,NH,4.65070614
3220,Belmont,NH,5.790348161
3221,Bradford,NH,2.167510007
3222,Town of Bristol,NH,2.940865494
3224,Canterbury,NH,2.236235934
3225,Barnstead,NH,4.813080583
3226,Center Harbor,NH,9.250056642
3227,Sandwich,NH,9.012159202
3229,Hopkinton,NH,6.558417038
3230,Danbury,NH,6.621101125
3234,Epsom,NH,5.018503134
3235,Franklin,NH,2.943886413
3237,Gilmanton,NH,4.18321879
3240,Grafton,NH,6.075069859
3241,Hebron,NH,9.629182086
3242,Town of Henniker,NH,5.80545276
3243,Hill,NH,5.12423533
3244,Town of Hillsborough,NH,5.10610981
3245,Holderness,NH,7.522845707
3246,Laconia,NH,5.174080508
3249,Gilford,NH,4.666565969
3253,Town of Meredith,NH,8.242579866
3254,Moultonborough,NH,7.326485915
3255,Newbury,NH,8.478211615
3257,New London,NH,7.112755834
3258,Chichester,NH,4.235329658
3261,Northwood,NH,4.440752209
3263,Town of Pittsfield,NH,6.464013292
3264,Town of Plymouth,NH,4.821388113
3266,Rumney,NH,7.759987916
3268,Salisbury,NH,4.020844347
3269,Sanbornton,NH,1.923570727
3275,Suncook,NH,5.698965335
3276,Tilton,NH,8.244845555
3278,Warner,NH,3.783702137
3279,Warren,NH,7.173929462
3280,Washington,NH,3.330564157
3281,Weare,NH,8.554489842
3282,Wentworth,NH,2.117664829
3287,Wilmot,NH,1.533872064
3290,Nottingham,NH,8.320368552
3301,Concord,NH,6.574276867
3303,Concord,NH,6.551619968
3304,Bow,NH,1.932633487
3307,Loudon,NH,5.706517635
3431,Keene,NH,2.0867004
3440,Town of Antrim,NH,5.988218413
3442,Bennington,NH,5.915716336
3444,Dublin,NH,4.952798127
3446,Swanzey,NH,1.786118873
3447,Fitzwilliam,NH,3.988369459
3449,Hancock,NH,9.522694661
3450,Harrisville,NH,8.064345593
3451,Town of Hinsdale,NH,0.345140095
3452,Town of Jaffrey,NH,1.902424288
3455,Town of Marlborough,NH,4.231553508
3461,Rindge,NH,5.917226796
3464,Stoddard,NH,1.817838532
3465,Troy,NH,1.181934899
3467,Westmoreland,NH,1.792160713
3470,Town of Winchester,NH,2.494524583
3561,Town of Littleton,NH,7.128615663
3570,Berlin,NH,1.555018503
3574,Bethlehem,NH,5.371950759
3576,Colebrook,NH,2.534551771
3580,Franconia,NH,8.489540065
3582,Stark,NH,0.394985273
3583,Jefferson,NH,8.426100748
3584,Town of Lancaster,NH,1.529340684
3585,Town of Lisbon,NH,8.327165622
3586,Sugar Hill,NH,9.231931123
3588,Milan,NH,5.361377539
3590,Stratford,NH,4.799486444
3592,Pittsburg,NH,4.267049317
3602,Alstead,NH,1.187976739
3603,Town of Charlestown,NH,2.412959746
3605,Lempster,NH,0.574730005
3608,Walpole,NH,0.868514463
3741,Canaan,NH,5.900611736
3743,Claremont,NH,0.409334642
3745,Cornish,NH,6.669435843
3748,Town of Enfield,NH,6.368099086
3753,Grantham,NH,3.657578733
3755,Town of Hanover,NH,5.415754097
3765,Haverhill,NH,4.711124537
3766,Lebanon,NH,8.254663545
3768,Lyme,NH,7.537950306
3773,Town of Newport,NH,0.47277396
3774,Haverhill,NH,5.538856582
3777,Orford,NH,5.492032324
3781,Plainfield,NH,5.260176724
3782,Sunapee,NH,3.237670871
3801,Portsmouth,NH,7.992598746
3810,Alton,NH,7.756211766
3811,Atkinson,NH,8.239558946
3813,Conway,NH,4.66052413
3814,Ossipee,NH,7.503209727
3816,Tuftonboro,NH,8.889056718
3819,Danville,NH,5.10913073
3820,Dover,NH,8.764443773
3823,Madbury,NH,8.37474511
3824,Town of Durham,NH,8.719885205
3825,Barrington,NH,9.135261687
3826,East Hampstead,NH,6.160410845
3827,East Kingston,NH,5.063061702
3830,Wakefield,NH,3.616041085
3833,Town of Exeter,NH,7.21320142
3835,Town of Farmington,NH,7.015331168
3837,Gilmanton,NH,6.793293558
3839,Rochester,NH,6.999471339
3840,Greenland,NH,5.258666264
3841,Hampstead,NH,4.281398686
3842,Town of Hampton,NH,7.555320595
3844,Hampton Falls,NH,3.698361151
3848,Kingston,NH,5.380258289
3849,Madison,NH,5.238275055
3851,Milton,NH,8.463107016
3855,New Durham,NH,7.056868817
3856,Newfields,NH,6.994184729
3857,Town of Newmarket,NH,5.968582433
3858,Newton,NH,8.339249301
3862,North Hampton,NH,2.434106185
3864,Ossipee,NH,5.853787478
3865,Plaistow,NH,5.400649498
3867,Rochester,NH,5.919492485
3868,Rochester,NH,4.856128691
3869,Rollinsford,NH,8.250132165
3870,Rye,NH,3.295823578
3872,Wakefield,NH,2.31402462
3873,Sandown,NH,6.04637112
3874,Seabrook,NH,5.281323163
3875,Madison,NH,8.685144627
3878,Somersworth,NH,9.000075523
3882,Effingham,NH,4.438486519
3884,Strafford,NH,9.285552451
3885,Stratham,NH,5.032852504
3887,Middleton,NH,5.543387962
3901,Town of Berwick,ME,7.090854165
3902,York,ME,7.051582207
3903,Eliot,ME,8.555245072
3904,Town of Kittery,ME,9.037081791
3905,Town of Kittery,ME,9.202477154
3906,Town of North Berwick,ME,6.683029983
3907,Ogunquit,ME,9.175288875
3908,South Berwick,ME,5.766936032
3909,York,ME,8.466883166
4001,Acton,ME,6.687561362
4002,Alfred,ME,6.776678499
4005,Biddeford,ME,7.404274602
4008,Bowdoinham,ME,4.301789895
4009,Town of Bridgton,ME,2.107091609
4011,Town of Brunswick,ME,6.376406616
4015,Casco,ME,4.808549203
4020,Cornish,ME,7.21093573
4021,Cumberland,ME,8.652669738
4029,Sebago,ME,5.894569897
4032,Town of Freeport,ME,9.649573295
4038,Town of Gorham,ME,3.02847217
4039,Gray,ME,7.816630164
4040,Harrison,ME,7.110490144
4042,Hollis,ME,5.902877426
4043,Town of Kennebunk,ME,8.13458198
4046,Town of Kennebunkport,ME,8.808247111
4048,Limerick,ME,5.82131259
4049,Limington,ME,3.809379956
4055,Naples,ME,5.728419304
4062,Windham,ME,4.001208368
4064,Old Orchard Beach,ME,5.558492561
4071,Raymond,ME,6.806132467
4072,Saco,ME,7.460161619
4073,Town of Sanford,ME,5.698210105
4076,Shapleigh,ME,8.13986859
4079,Harpswell,ME,4.64088815
4083,Town of Sanford,ME,5.57057624
4084,Standish,ME,5.299448682
4085,Standish,ME,7.394456612
4086,Town of Topsham,ME,5.103088891
4090,Wells,ME,7.702590439
4092,Westbrook,ME,6.633940035
4093,Buxton,ME,7.421644891
4096,Town of Yarmouth,ME,8.900385167
4097,North Yarmouth,ME,9.092213579
4101,Portland,ME,6.950381391
4102,Portland,ME,8.207839287
4103,Portland,ME,8.8256174
4105,Falmouth,ME,8.390604939
4106,South Portland,ME,8.551468922
4110,Cumberland,ME,9.29159429
4210,Auburn,ME,6.486670191
4222,Durham,ME,6.942073861
4236,Greene,ME,6.333358508
4240,Lewiston,ME,6.544067669
4254,Town of Livermore Falls,ME,3.298089268
4256,Town of Mechanic Falls,ME,6.581829167
4258,Minot,ME,8.023563175
4259,Monmouth,ME,8.876217808
4260,New Gloucester,ME,8.009969036
4274,Poland,ME,8.220678197
4280,Sabattus,ME,6.760063439
4282,Turner,ME,6.608262216
4287,Bowdoin,ME,6.73816177
4330,Augusta,ME,5.939883695
4345,Gardiner,ME,5.890038517
4347,Hallowell,ME,8.203307907
4351,Manchester,ME,7.45336455
4352,Mt Vernon,ME,7.138433653
4357,Town of Richmond,ME,4.160561891
4358,China Village,ME,7.616494222
4364,Town of Winthrop,ME,9.038592251
4401,Bangor,ME,6.915640813
4411,Bangor,ME,7.233592629
4412,Brewer,ME,4.282153916
4428,Clifton,ME,6.778944189
4429,Dedham,ME,6.51234801
4444,Town of Hampden,ME,5.841703799
4455,Lee,ME,3.48312061
4456,Levant,ME,8.537119553
4461,Town of Milford,ME,6.022203761
4468,Old Town,ME,6.869571785
4530,Bath,ME,6.158145155
4562,Phippsburg,ME,9.460765803
4579,Woolwich,ME,6.615059286
4901,Waterville,ME,7.139188883
4953,Town of Newport,ME,7.013820708
6001,Avon,CT,4.041990786
6002,Bloomfield,CT,1.112453742
6010,Bristol,CT,2.015708783
6013,Burlington,CT,1.534627294
6016,Broad Brook,CT,0.959897289
6019,Canton,CT,0.509024998
6021,Town of New Milford,CT,5.33947587
6023,Berlin,CT,3.920398761
6026,East Granby,CT,0.331545956
6027,Hartland,CT,2.208292425
6029,Ellington,CT,2.647836266
6031,Canaan,CT,7.603655313
6032,Farmington,CT,0.873045842
6033,Glastonbury,CT,1.732497546
